Timestamp,Net_Worth
2024-10-30 18:14:19.655722,98983.00316729452
2024-10-30 18:14:19.656728,100392.49303352059
2024-10-30 18:14:19.658194,100095.33178267351
2024-10-30 18:14:19.659226,101502.8035398221
2024-10-30 18:14:19.659736,103608.99776773142
2024-10-30 18:14:19.660725,104231.42509373631
2024-10-30 18:14:19.662722,96724.21864987348
2024-10-30 18:14:19.664732,96924.99925983032
2024-10-30 18:14:19.664732,97710.05431260074
2024-10-30 18:14:19.666732,96850.71160252523
2024-10-30 18:14:19.667724,95897.00636063697
2024-10-30 18:14:19.668724,96029.52177564101
2024-10-30 18:14:19.670722,97334.60105117377
2024-10-30 18:14:19.672730,97196.0525521907
2024-10-30 18:14:19.672730,95473.35215713814
2024-10-30 18:14:19.674736,96260.41469735933
